2026-02-28T09:53:46: 2026-02-28 09:53:46 | INFO    | ✅ БД urgent_news инициализирована
2026-02-28T09:53:46: 2026-02-28 09:53:46 | INFO    | ✅ UrgentNewsBot инициализирован
2026-02-28T09:53:46: 2026-02-28 09:53:46 | INFO    | 🚀 Запуск UrgentNewsBot...
2026-02-28T09:53:46: 2026-02-28 09:53:46 | INFO    | 🔄 Проверка срочных новостей...
2026-02-28T09:53:50: 2026-02-28 09:53:50 | INFO    | 📰 politics: найдено 30 новостей
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:50: 2026-02-28 09:53:50 | ERROR   | ❌ Ошибка обработки: name 'URGENT_POLITICS_KEYWORDS' is not defined
2026-02-28T09:53:54: 2026-02-28 09:53:54 | INFO    | 📰 economy: найдено 30 новостей
2026-02-28T09:53:54: 2026-02-28 09:53:54 | INFO    | ✅ Цикл завершён
2026-02-28T09:54:21: 2026-02-28 09:54:21 | INFO    | 🛑 Получен сигнал завершения...
2026-02-28T09:54:23: 2026-02-28 09:54:23 | INFO    | ✅ БД urgent_news инициализирована
2026-02-28T09:54:23: 2026-02-28 09:54:23 | INFO    | ✅ UrgentNewsBot инициализирован
2026-02-28T09:54:23: 2026-02-28 09:54:23 | INFO    | 🚀 Запуск UrgentNewsBot...
2026-02-28T09:54:23: 2026-02-28 09:54:23 | INFO    | 🔄 Проверка срочных новостей...
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | 📰 politics: найдено 30 новостей
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | ✅ Отправлено в -1003739906790
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | 🚨 ОПУБЛИКОВАНО: Кувейт временно закрыл свое воздушное пространство (priority=100)
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | ⏳ Cooldown для -1003739906790
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | ⏳ Cooldown для -1003739906790
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | ⏳ Cooldown для -1003739906790
2026-02-28T09:54:24: 2026-02-28 09:54:24 | INFO    | ⏳ Cooldown для -1003739906790
2026-02-28T09:54:25: 2026-02-28 09:54:25 | INFO    | 📰 economy: найдено 30 новостей
2026-02-28T09:54:25: 2026-02-28 09:54:25 | INFO    | ✅ Цикл завершён
2026-02-28T09:56:25: 2026-02-28 09:56:25 | INFO    | 🔄 Проверка срочных новостей...
2026-02-28T09:56:26: 2026-02-28 09:56:26 | INFO    | 📰 politics: найдено 30 новостей
2026-02-28T09:56:26: 2026-02-28 09:56:26 | INFO    | 🔄 Дубликат: Кувейт временно закрыл свое воздушное пространство
